date,track_id,track_name,artist,popularity,name
2025-06-27,7tEXi6HF2KxfFwCqYh6utW,,Shortstraw,32,"Good Morning, Sunshine"
2025-06-27,2aW3I4noyHND808XWiIx62,,Freshlyground,34,Fire Is Low
2025-06-27,35cq4hpEziaZeR278Z0l3m,,Lady Zamar,54,Collide
2025-06-27,0x3T8PGQH5xeZ1towZqecI,,Mafikizolo,0,Ndihamba Nawe
2025-06-27,3JPrTUwhK3Utti9ilI75fB,,Yvonne Chaka Chaka,44,Umqombothi
2025-06-27,4fBxUtH4erpLDc2BEvUkgf,,Jack Parow,38,Cooler as Ekke
2025-06-27,2IlX1cbIqZRkkEhr5iax4Q,,Jack Parow,29,I Miss
2025-06-27,0rwDgOaQrc8gwP87zEB3kY,,"Jack Parow, Gazelle, Dj Invizable",38,Hosh Tokolosh
2025-06-27,3sB3oBljvrQZrvLzupXvji,,Joy,0,Paradise Road
2025-06-27,17nOJOcPbcl4sKzM2yyYDp,,Rodríguez,65,Sugar Man
2025-06-27,2zrtp9krR2IyT9mi2PaIBC,,Rodríguez,62,I Wonder
2025-06-27,0QM8IOYgFzvWcBYn0oi0Cs,,"Bob James, David Sanborn",45,Maputo
2025-06-27,1FATW3RXeEWU2y3jFVMYp4,,Veranda Panda,19,Sugarbee
2025-06-27,7Kxl9klmNx84PyTFL7hko1,,Mi Casa,0,Jika
2025-06-27,0ZAyAqsgCIBMjKhZrcw1D8,,Chicco,39,I Need Some Money
2025-06-27,72uJ6u4XNZrZ3qNeSsXiOK,,Just Jinger,0,What He Means
2025-06-27,79X7Y0Td0OBnHNfyDcfP67,,eVOID,7,Shoes
2025-06-27,7jH47uEvcW2VYFD3wB03JE,,Johnny Clegg,41,King Of Time
2025-06-27,0AkwDIWOKki7s0WtbrYwen,,Dr Victor,0,If You Wanna Be Happy
2025-06-27,2QNsysOmjS5Geh6baIetb4,,"Spiritchaser, Est8",32,These Tears - Est8 Remix
2025-06-27,0qxYx4F3vm1AOnfux6dDxP,,Paul Simon,81,You Can Call Me Al
2025-06-27,03k59osMOxlU0OBDiTTHmg,,Euphonik,23,Domination
2025-06-27,2agd8zFjkoJi4CffsR4V2O,,"Prince Kaybee, Msaki",36,Fetch Your Life - Edit
2025-06-27,2JB4Z7yOuyrCBjMHYLrxD6,,eVOID,35,Shadows
2025-06-27,3fJ75JKYcfOerkRGj29Plh,,Blk Sonshine,0,Born in a Taxi
2025-06-27,5R6SF0I4VRZHlRMBhtBU0S,,GoldFish,42,The Real Deal
2025-06-27,3OMlktZA9K9eMVpIVGWIZS,,GoodLuck,32,Taking it Easy - Radio Edit
2025-06-27,7BnEt4gHFfjcqC1DEqwRHm,,Mafikizolo,43,Ngeke Balunge
2025-06-27,6MutLDKkFNwSlAb8z4ZL4P,,The Kiffness,0,Mevrou
2025-06-27,3oAgsBnNGfbSBvxfYwmIWP,,"Ladysmith Black Mambazo, PJ Powers",0,World in Union (Feat. P.J. Powers)
2025-06-27,7KFgl1nQq7ajN4pQ8N3QRn,,Mango Groove,0,Dance Sum More
2025-06-27,6vOAEPEm0ceQdBdqmOztUB,,Shadowclub,23,Good Morning Killer
2025-06-27,2eRdsFjpWzmskLel9rL4k1,,Jeremy Taylor,0,Ag Pleez Deddy
2025-06-27,68RV0HNYnbkrztSe9sBZ1W,,Brenda Fassie,48,Vuli Ndlela
2025-06-27,2ek84tSRret6fl20OCl9dw,,Prime Circle,34,Live This Life
2025-06-27,1VN42HeOD624v0M92a4XvI,,"Euphonik, Mi Casa",43,Don't Wanna Be (Your Friend)
2025-06-27,78ZlKnPOiRZ4A88Q1agSwP,,"Pascal & Pearce, Jethro Tait",0,Running Wild
2025-06-27,4SYZmaoeOSqzMXHmhGgALA,,Crazy White Boy,38,Love You Better (Radio Edit)
2025-06-27,06lRQSEhg7H0AIA2jlBwpj,,Crazy White Boy,33,What You Do 2 Me - Radio Edit
2025-06-27,0ntQJM78wzOLVeCUAW7Y45,,Kings of Leon,87,Sex on Fire
2025-06-27,7CL6aAJtmlE91lbx1uIAwx,,Chunda Munki,16,Wasted Space
2025-06-27,2NIXkSIYppHg1HBe1oDcI8,,"Johnny Clegg, Soweto Gospel Choir, Juluka",0,Africa
2025-06-27,7e0JYBx8mE2DgPqSIioIZ2,,DJ Fresh,2,Golddust - Original Mix
2025-06-27,1BeEkNHCZ6kXDhuNaepBra,,"Johnny Clegg, Juluka",0,Kilimanjaro
2025-06-27,6wGM5YvgSNI5MDgQjQ0CaO,,GoldFish,38,Get busy living (feat. Emily Bruce)
2025-06-27,1Bh3o07Kfua1iTnxuWDwnp,,Mi Casa,0,Turn You On
2025-06-27,7zncVVnJFQgqpQh0zwX3MR,,Liquideep,54,Fairytale
2025-06-27,1SssFw74DdHVjRa6ADggdD,,Inner Circle,7,Sweat (A La La La La Long)
2025-06-27,0gKL5HGvDcDwSbfFO2Rmaw,,"Sun-El Musician, Samthing Soweto",52,Akanamali
2025-06-27,7FwlSzJhnLiK52rz9IBKHI,,Bright Blue,33,Weeping
2025-06-27,5Cn14RcQC8jdRbdl9osUfe,,Liquideep,53,Alone
2025-06-27,3OFwjx4x49bqIi8W7kRzzV,,Mgarimbe,44,Sister Bethina
2025-06-27,0JSZHgHH9FEFHo6H9dkGlh,,"TiMO ODV, Sarah Jackson",39,Save Me - Radio Edit
2025-06-27,6I3UBunJoEYdWfgIAzQFPX,,"GoodLuck, Kyle Watson",27,Tall Walls
2025-06-27,0f4tHHZYq5pROLRIcOQDE9,,"December Streets, Thieve",24,Wild Heart (feat. Thieve)
2025-06-27,2V8lU4lAzzzDXFKs73XAc4,,"Johnny Clegg, Savuka",32,Ibhola Lethu (Our Football Team)
2025-06-27,21N2jEAO4O9v4OLMGVhgXb,,Freshlyground,26,Buttercup
2025-06-27,32spO16oE83Eaa4vrkbqa8,,Euphonik,16,Shut Up
2025-06-27,4DW8Lj8T9ij1w9qqhOBFMu,,Brother Barnaby,23,Samantha
